Date,Commit,Performance,Accessibility,Best Practices,SEO,PWA
2020-03-16,a31fecc328bb7d0929b0cbdc9cfff46150109985,1,0.72,0.93,0.82,0.48
2020-03-16,a31fecc328bb7d0929b0cbdc9cfff46150109985,0.93,0.72,0.86,0.82,0.48
2020-03-16,b7ca33fb74726bcca2e611b66bbe7f3b5bc21806,0.9,0.72,0.86,0.82,0.48
2020-03-16,b7ca33fb74726bcca2e611b66bbe7f3b5bc21806,0.95,0.72,0.86,0.82,0.48
2020-03-17,5e062c576f3f64d3657da10ec1f4e5d9c792b378,0.97,0.72,0.86,0.82,0.48
2020-03-23,ebedea0bba9886321bc5bae669ee4bd43f7f5d36,0.98,0.81,0.93,0.78,0.48
2020-03-23,a1c80929d1bbfa154fabe3015ee904af5b8f8fae,,,,,
2020-03-23,9d8a32cdc919826a150364602003fa82b8caac47,0.98,0.81,0.93,0.78,0.48
2020-03-23,746de257453c3560eb095ef47388856b03537b44,0.98,0.81,0.86,0.78,0.48
2020-03-25,998e7d9e48ec6ea518e7add1a57a7ade828e0e96,0.97,0.87,0.93,0.91,0.48
2020-03-25,9c5ab6c0656d1857fb6fc3f2552df2ebf48136bd,0.97,0.87,0.93,0.91,0.48
2020-03-25,9c5ab6c0656d1857fb6fc3f2552df2ebf48136bd,0.97,0.87,0.93,0.91,0.48
2020-03-26,9c5ab6c0656d1857fb6fc3f2552df2ebf48136bd,0.96,0.87,0.93,0.91,0.48
2020-03-27,aef54be7a4ecab4fec389af895a389cbabf61274,0.93,0.87,0.93,0.91,0.48
2020-03-27,4f34dfa75a627a1ac2d47edbd681860838a73a0b,0.9,0.87,0.86,0.91,0.48
2020-03-27,4f34dfa75a627a1ac2d47edbd681860838a73a0b,0.91,0.87,0.86,0.91,0.48
2020-03-27,1c57d14e3c9bc945b6ba2d74209a2f89a623fbf4,0.91,0.87,0.86,0.91,0.48
2020-03-27,42d209f1e6315aa43900cdd53d00039fa166c409,0.91,0.87,0.86,0.91,0.48
2020-03-27,b42ffc00d60ee6d6a0fef06ff43a08b69aa3a566,0.91,0.87,0.86,0.91,0.48
2020-03-27,b42ffc00d60ee6d6a0fef06ff43a08b69aa3a566,0.96,0.87,0.93,0.91,0.48
2020-03-27,9b7c731e57f793a59a8062ca0fe5cab57d09c476,0.91,0.87,0.86,0.91,0.48
2020-04-02,9b7c731e57f793a59a8062ca0fe5cab57d09c476,,,,,
2020-04-02,5168f970afdef828a3db6aa6409895851056413d,,,,,
2020-04-02,67deaefc09959c310e794c031112982e168b12f5,,,,,
